# Peak        Omega     2*theta         Chi         Phi       hrs
(004)       31.0818     62.0142      0.0750    -89.8280         2
(024)        4.0701     78.1436     -0.0748   -179.8574         1
(0-24)       3.9605     78.1436      0.0748      0.1426         1
(-204)       3.8523     78.1436     -0.0750     90.1720         1
(224)        1.9496     93.3441      0.0003   -134.7568         1
(2-24)       1.8719     93.3441      0.1058    -44.9285         1
(-224)       1.8131     93.3441     -0.1058    135.0715         1
(-116)      36.1766    109.0308     -0.1058    135.0715         4
(1-16)      36.1884    109.0308      0.1058    -44.9285         4
(116)       36.2945    109.0308      0.0003   -134.7568         4
(404)        8.4154    125.8679      0.0750    -89.8280         3
(-404)       8.2359    125.8679     -0.0750     90.1720         3
(0-44)       8.3723    125.8679      0.0748      0.1426         3
(4-24)      16.6011    148.1802      0.1004    -63.3375         4
(-424)      16.4666    148.1802     -0.1004    116.6625         4
(-2-44)     16.5223    148.1802      0.0332     26.7824         4
(136)       37.8911    148.6123     -0.0471   -161.3679         4
(-1-36)     37.7375    148.6123      0.0471     18.6321         4
(-316)      37.6784    148.6123     -0.0947    108.5525         4
(0-14)      13.7064     66.2151      0.0748      0.1426         4
(104)       13.7982     66.2151      0.0750    -89.8280         4
